step,t,max_u,plate_disp
273,1.70625000e+00,1.6666625969865556e-01,1.0496510644236721e-01
274,1.71250000e+00,1.6666625969865737e-01,1.0537857150617286e-01
275,1.71875000e+00,1.6666625969865606e-01,1.0579216365027073e-01
276,1.72500000e+00,1.6666625969865748e-01,1.0620588684838439e-01
277,1.73125000e+00,1.6666625969865587e-01,1.0661980255943598e-01
278,1.73750000e+00,1.6666625969865753e-01,1.0703383692422885e-01
279,1.74375000e+00,1.6666625969865631e-01,1.0744804333878466e-01
280,1.75000000e+00,1.6666625969865692e-01,1.0786235700931100e-01
281,1.75625000e+00,1.6666625969865698e-01,1.0827681112298773e-01
282,1.76250000e+00,1.6666625969865803e-01,1.0869141056869475e-01
283,1.76875000e+00,1.6666625969865739e-01,1.0910614150101554e-01
284,1.77500000e+00,1.6666625969865634e-01,1.0952101539730187e-01
285,1.78125000e+00,1.6666625969865753e-01,1.0993605094892658e-01
286,1.78750000e+00,1.6666625969865628e-01,1.1035118571814941e-01
287,1.79375000e+00,1.6666625969865859e-01,1.1076651787950871e-01
288,1.80000000e+00,1.6666625969865637e-01,1.1118195495179746e-01
289,1.80625000e+00,1.6666625969865723e-01,1.1159755697956526e-01
290,1.81250000e+00,1.6666625969865803e-01,1.1201325569834221e-01
291,1.81875000e+00,1.6666625969865728e-01,1.1242910390040510e-01
292,1.82500000e+00,1.6666625969865806e-01,1.1284504548893659e-01
293,1.83125000e+00,1.6666625969865687e-01,1.1326115916851485e-01
294,1.83750000e+00,1.6666625969865878e-01,1.1367741846530073e-01
295,1.84375000e+00,1.6666625969865687e-01,1.1409382154509566e-01
296,1.85000000e+00,1.6666625969865803e-01,1.1451036154323718e-01
297,1.85625000e+00,1.6666625969865853e-01,1.1492703927199789e-01
298,1.86250000e+00,1.6666625969865778e-01,1.1534387916348807e-01
299,1.86875000e+00,1.6666625969865853e-01,1.1576081603548280e-01
300,1.87500000e+00,1.6666625969865781e-01,1.1617794670281779e-01
301,1.88125000e+00,1.6666625969865917e-01,1.1659518537480204e-01
